Days Until Departure,Total Price,Airline,Aircraft,Departure Airport,Arrival Airport,Departure Time,Cabin
12,9477.0,AI,32N,MAA,DEL,2025-11-19T21:45:00,ECONOMY
12,9477.0,AI,32N,MAA,DEL,2025-11-19T06:50:00,ECONOMY
12,9719.0,AI,32N,MAA,DEL,2025-11-19T17:30:00,ECONOMY
12,10369.0,AI,321,MAA,DEL,2025-11-19T06:10:00,ECONOMY
13,9477.0,AI,32N,MAA,DEL,2025-11-20T08:05:00,ECONOMY
13,9477.0,AI,77W,MAA,DEL,2025-11-20T20:40:00,ECONOMY
13,9477.0,AI,321,MAA,DEL,2025-11-20T06:00:00,ECONOMY
13,9477.0,AI,32N,MAA,DEL,2025-11-20T16:55:00,ECONOMY
13,9477.0,AI,32N,MAA,DEL,2025-11-20T06:50:00,ECONOMY
13,9477.0,AI,32N,MAA,DEL,2025-11-20T21:45:00,ECONOMY
13,9719.0,AI,32N,MAA,DEL,2025-11-20T17:30:00,ECONOMY
13,9843.0,AI,737,MAA,GOX,2025-11-20T16:40:00,ECONOMY
13,10369.0,AI,32N,MAA,DEL,2025-11-20T16:00:00,ECONOMY
13,10369.0,AI,32N,MAA,DEL,2025-11-20T11:20:00,ECONOMY
14,8297.0,AI,737,MAA,STV,2025-11-21T06:25:00,ECONOMY
14,8297.0,AI,737,MAA,STV,2025-11-21T06:25:00,ECONOMY
14,9477.0,AI,32N,MAA,DEL,2025-11-21T08:05:00,ECONOMY
14,9477.0,AI,321,MAA,DEL,2025-11-21T06:00:00,ECONOMY
14,9477.0,AI,32N,MAA,DEL,2025-11-21T21:45:00,ECONOMY
14,9477.0,AI,32N,MAA,DEL,2025-11-21T06:50:00,ECONOMY
14,9719.0,AI,77W,MAA,DEL,2025-11-21T20:40:00,ECONOMY
14,9719.0,AI,32N,MAA,DEL,2025-11-21T17:30:00,ECONOMY
14,9843.0,AI,737,MAA,GOX,2025-11-21T16:40:00,ECONOMY
14,10319.0,AI,737,MAA,JAI,2025-11-21T20:00:00,ECONOMY
15,9477.0,AI,321,MAA,DEL,2025-11-22T06:10:00,ECONOMY
15,9477.0,AI,32N,MAA,DEL,2025-11-22T08:05:00,ECONOMY
15,9477.0,AI,77W,MAA,DEL,2025-11-22T20:40:00,ECONOMY
15,9477.0,AI,32N,MAA,DEL,2025-11-22T21:45:00,ECONOMY
15,9477.0,AI,32N,MAA,DEL,2025-11-22T06:50:00,ECONOMY
15,9719.0,AI,32N,MAA,DEL,2025-11-22T16:55:00,ECONOMY
15,9719.0,AI,32N,MAA,DEL,2025-11-22T17:30:00,ECONOMY
15,10369.0,AI,32N,MAA,DEL,2025-11-22T16:00:00,ECONOMY
15,10639.0,AI,32N,MAA,DEL,2025-11-22T11:20:00,ECONOMY
15,10639.0,AI,32N,MAA,DEL,2025-11-22T09:50:00,ECONOMY
16,9477.0,AI,321,MAA,DEL,2025-11-23T06:10:00,ECONOMY
16,9477.0,AI,77W,MAA,DEL,2025-11-23T20:40:00,ECONOMY
16,9477.0,AI,32N,MAA,DEL,2025-11-23T21:45:00,ECONOMY
16,10369.0,AI,32N,MAA,DEL,2025-11-23T08:05:00,ECONOMY
16,10369.0,AI,32N,MAA,DEL,2025-11-23T16:55:00,ECONOMY
16,10369.0,AI,32N,MAA,DEL,2025-11-23T06:50:00,ECONOMY
16,10639.0,AI,32N,MAA,DEL,2025-11-23T16:00:00,ECONOMY
16,10639.0,AI,32N,MAA,DEL,2025-11-23T11:20:00,ECONOMY
16,10639.0,AI,32N,MAA,DEL,2025-11-23T17:30:00,ECONOMY
16,11419.0,AI,32N,MAA,DEL,2025-11-23T09:50:00,ECONOMY
17,8435.0,AI,737,MAA,VNS,2025-11-24T14:00:00,ECONOMY
17,9315.0,AI,737,MAA,STV,2025-11-24T06:25:00,ECONOMY
17,9477.0,AI,32N,MAA,DEL,2025-11-24T08:05:00,ECONOMY
17,9477.0,AI,77W,MAA,DEL,2025-11-24T20:40:00,ECONOMY
17,9477.0,AI,321,MAA,DEL,2025-11-24T06:00:00,ECONOMY
17,9477.0,AI,32N,MAA,DEL,2025-11-24T16:55:00,ECONOMY
17,9477.0,AI,32N,MAA,DEL,2025-11-24T21:45:00,ECONOMY
17,9719.0,AI,32N,MAA,DEL,2025-11-24T06:50:00,ECONOMY
17,9719.0,AI,32N,MAA,DEL,2025-11-24T17:30:00,ECONOMY
17,9885.0,AI,737,MAA,STV,2025-11-24T06:25:00,ECONOMY
18,8435.0,AI,737,MAA,VNS,2025-11-25T14:00:00,ECONOMY
18,9477.0,AI,32N,MAA,DEL,2025-11-25T08:05:00,ECONOMY
18,9477.0,AI,77W,MAA,DEL,2025-11-25T20:40:00,ECONOMY
18,9477.0,AI,321,MAA,DEL,2025-11-25T06:00:00,ECONOMY
18,9477.0,AI,32N,MAA,DEL,2025-11-25T11:20:00,ECONOMY
18,9477.0,AI,32N,MAA,DEL,2025-11-25T16:55:00,ECONOMY
18,9477.0,AI,32N,MAA,DEL,2025-11-25T06:50:00,ECONOMY
